pH,Temperature,Colour,Taste,Odor,Fat,Turbidity,Grade
0.584615385,0.107142857,0.333333333,1,0,1,0,2
0.553846154,0.196428571,0.666666667,0,0,0,1,2
0.584615385,0.196428571,0.333333333,1,1,1,0,0
0.923076923,0.160714286,0.666666667,1,0,1,1,1
0.923076923,0.160714286,0.666666667,1,0,1,1,1
0.553846154,0.053571429,1,1,1,1,1,0
0.584615385,0.196428571,0,0,1,0,0,2
0.676923077,0.553571429,1,0,0,0,0,1
0.569230769,0.196428571,0.466666667,1,1,0,0,2
0.553846154,0.071428571,1,0,0,0,0,2
0.553846154,0.071428571,1,1,0,1,0,0
0.553846154,0.071428571,1,1,0,1,0,0
0,0.107142857,1,1,0,0,0,1
0.553846154,0.053571429,1,1,0,1,0,0
1,0,1,1,1,0,1,1
0.923076923,0.160714286,0.533333333,1,1,1,1,1
0.569230769,0.196428571,0.466666667,1,1,0,0,2
0.584615385,0.107142857,1,1,1,1,1,0
0.553846154,0.053571429,1,1,0,1,0,0
0.261538462,0.071428571,1,1,0,1,0,1
0.538461538,0.035714286,1,0,0,1,0,2
0.923076923,0.160714286,0.533333333,1,1,1,1,1
0.538461538,0.071428571,1,1,0,1,0,2
0.846153846,0.642857143,0.4,0,0,0,0,1
0.584615385,0.196428571,0,0,1,0,0,2
0.553846154,0.285714286,1,0,0,0,0,1
0.584615385,0.125,1,0,0,1,0,2
1,0,1,1,1,0,1,1
0.676923077,1,1,1,0,1,1,1
0.584615385,0.196428571,1,0,1,1,1,0
0.584615385,0.196428571,0.333333333,1,1,1,1,0
0,0.107142857,1,1,1,1,1,1
0.230769231,0.464285714,0.666666667,0,1,1,1,1
0.553846154,0.053571429,1,1,0,1,0,0
0,0.107142857,1,1,1,1,1,1
0.569230769,0.196428571,0.466666667,1,1,0,0,2
0.261538462,0.071428571,1,1,0,1,0,1
0.923076923,0.160714286,0.666666667,1,0,1,1,1
0.569230769,0.285714286,0.333333333,1,1,1,0,1
0.538461538,0.071428571,1,1,1,1,1,0
0.538461538,0.053571429,1,0,0,0,0,2
0.553846154,0.053571429,1,1,1,1,1,0
0.538461538,0.053571429,1,0,0,0,0,2
0.538461538,0.035714286,0.466666667,0,0,0,0,2
0,0.107142857,1,1,1,1,1,1
0.538461538,0.071428571,1,1,0,0,0,2
0.784615385,0.571428571,1,1,0,1,1,1
0.923076923,0.160714286,0.533333333,1,1,1,1,1
0.553846154,0.196428571,1,0,1,0,0,2
0.584615385,0.196428571,0.333333333,1,1,1,0,0
0.569230769,0.071428571,1,1,0,1,0,0
0.584615385,0.035714286,0.866666667,0,1,1,0,0
0.584615385,0.107142857,0.333333333,1,0,1,0,2
0.846153846,0.642857143,0.4,0,0,0,0,1
0.584615385,0.196428571,0.333333333,1,1,1,0,0
0.553846154,0.053571429,1,1,0,1,0,0
0.538461538,0.071428571,1,1,0,0,0,2
0.538461538,0.071428571,1,1,0,1,0,2
0.538461538,0.035714286,0.466666667,0,0,0,0,2
0.538461538,0.017857143,0.4,1,0,1,0,2
0.553846154,0.285714286,0.666666667,0,0,0,1,1
0.553846154,0.053571429,1,1,0,1,0,0
0.569230769,0.125,0.466666667,1,0,0,0,2
0.861538462,0.375,1,0,1,1,1,1
0,0.107142857,1,1,1,1,1,1
0.846153846,0.642857143,0.4,0,0,0,0,1
0.569230769,0.125,0.466666667,1,0,0,0,2
0.553846154,0.196428571,0.666666667,0,1,1,1,0
0.584615385,0.071428571,1,0,0,0,0,2
